,year,gu,total,dog_sum,dog_own,dog_ad,dog_kill,dog_gye,cat_sum,cat_own,cat_ad,cat_kill,cat_gye,gt_sum,gt_own,gt_ad,gt_kill,gt_gye,park,hospital,safety,shop
24,2018,강남구,271,158,58,41,57,2,100,10,17,73,0,13,1,5,7,0,16.68718135,75,1,129
26,2018,강동구,458,291,130,107,52,2,164,0,77,75,12,3,0,1,2,0,13.7646995,47,3,86
10,2018,강북구,420,280,98,59,119,4,128,0,22,106,0,12,1,7,4,0,60.76058604,24,1,34
17,2018,강서구,425,288,99,81,103,5,127,4,17,106,0,10,0,7,3,0,10.44787463,48,1,84
22,2018,관악구,880,493,207,275,11,0,358,11,284,59,4,29,2,24,3,0,37.11936922,30,1,72
6,2018,광진구,325,190,93,36,60,1,128,1,19,108,0,7,0,3,4,0,19.68696431,40,0,71
18,2018,구로구,215,173,41,53,76,3,34,1,5,28,0,8,0,6,2,0,15.85888483,24,1,38
19,2018,금천구,181,135,37,38,58,2,45,0,11,34,0,1,0,1,0,0,16.94570462,15,1,40
12,2018,노원구,294,222,63,49,109,1,66,2,10,54,0,6,0,4,2,0,40.45860027,38,0,57
11,2018,도봉구,276,204,76,45,82,1,65,0,15,50,0,7,0,5,2,0,48.78876378,22,0,38
7,2018,동대문구,298,237,91,57,86,3,53,4,9,40,0,8,3,5,0,0,8.973310887,27,1,64
21,2018,동작구,275,227,118,67,42,0,30,4,13,13,0,18,1,8,9,0,28.03988193,25,2,35
15,2018,마포구,528,222,106,89,15,12,297,1,143,130,23,9,1,3,3,2,18.62091551,47,0,38
14,2018,서대문구,188,179,73,23,82,1,1,0,0,1,0,8,0,3,5,0,29.16844268,25,1,43
23,2018,서초구,182,124,42,15,64,3,53,1,9,43,0,5,0,4,1,0,33.80690389,48,2,84
5,2018,성동구,245,155,46,31,77,1,81,1,9,71,0,9,1,6,2,0,18.39464463,31,0,52
9,2018,성북구,352,261,78,43,138,2,82,0,28,54,0,9,0,6,3,0,33.92413961,33,0,51
25,2018,송파구,326,211,57,62,90,2,104,2,12,90,0,11,0,6,5,0,13.12321852,67,1,132
16,2018,양천구,365,231,117,112,2,0,123,11,30,82,0,11,0,8,3,0,16.71669553,45,2,23
20,2018,영등포구,229,139,50,44,43,2,75,3,12,58,2,15,1,8,6,0,12.60759165,30,1,30
4,2018,용산구,294,190,79,74,17,20,98,3,42,45,8,6,0,4,2,0,8.204844284,29,19,48
13,2018,은평구,384,285,95,52,133,5,87,1,8,78,0,12,1,11,0,0,47.12378125,37,1,65
2,2018,종로구,240,122,50,23,49,0,112,8,10,94,0,6,0,4,2,0,48.38267586,11,1,18
3,2018,중구,163,92,29,24,38,1,59,0,5,54,0,12,2,6,4,0,31.44252223,14,0,38
8,2018,중랑구,406,259,84,72,100,3,137,3,23,111,0,10,0,7,3,0,28.14964957,30,1,72
1,2018,합계,8220,5368,2017,1572,1703,76,2607,71,830,1657,49,245,14,152,77,2,27.82147168,862,41,1442
